
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 59
No. of Primary Outputs: 35
No. of Gates: 4454
No. of DFFs: 516
No. of Nodes: 10434
Execution Time: 1003800408 ns
Primary Inputs: test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	SC0	SC1
\DFF_509/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_508/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_507/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_506/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_505/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_504/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_503/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_502/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_501/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_500/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_499/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_498/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_497/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_496/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_495/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_494/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_493/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_492/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_491/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_490/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_489/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_488/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_487/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_486/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_485/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_484/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_483/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_482/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_481/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_480/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_479/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_478/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_477/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_476/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_475/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_474/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_473/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_472/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_471/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_470/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_468/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_467/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_466/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_465/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_464/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_463/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_462/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_461/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_460/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_459/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_458/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_457/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_456/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_455/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_454/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_453/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_452/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_451/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_450/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_449/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_448/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_447/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_446/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_445/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_444/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_443/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_442/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_441/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_440/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_438/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_437/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_436/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_435/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_434/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_433/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_432/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_431/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_430/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_429/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_428/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_427/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_426/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_425/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_424/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_423/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_421/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_420/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_419/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_418/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_417/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_416/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_415/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_414/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_413/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_412/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_411/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_410/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_409/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_408/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_407/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_406/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_405/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_404/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_403/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_402/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_401/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_400/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_399/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_398/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_397/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_396/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_395/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_394/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_393/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_392/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_391/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_390/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_389/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_388/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_387/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_386/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_385/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_384/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_383/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_382/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_381/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_380/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_379/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_378/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_377/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_376/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_374/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_373/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_372/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_371/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_370/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_369/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_368/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_367/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_366/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_365/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_364/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_363/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_362/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_361/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_360/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_359/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_358/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_357/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_356/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_355/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_354/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_353/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_352/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_351/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_350/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_349/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_347/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_346/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_345/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_344/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_343/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_342/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_340/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_339/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_338/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_337/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_336/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_335/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_334/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_333/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_332/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_331/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_330/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_329/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_328/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_327/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_326/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_325/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_324/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_323/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_322/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_321/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_320/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_319/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_318/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_317/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_316/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_315/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_314/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_313/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_312/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_311/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_310/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_309/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_308/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_307/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_306/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_304/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_303/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_302/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_301/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_300/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_299/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_297/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_296/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_295/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_294/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_293/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_292/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_291/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_290/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_289/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_288/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_287/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_286/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_285/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_284/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_283/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_282/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_281/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_280/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_279/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_278/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_277/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_276/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_275/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_273/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_272/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_271/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_270/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_269/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_268/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_267/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_266/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_265/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_264/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_263/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_262/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_261/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_260/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_259/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_258/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_256/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_255/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_254/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_253/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_252/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_251/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_250/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_249/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_248/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_247/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_246/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_245/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_244/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_243/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_242/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_241/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_240/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_239/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_238/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_237/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_235/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_234/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_233/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_232/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_231/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_230/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_229/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_228/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_227/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_226/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_225/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_224/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_223/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_222/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_221/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_220/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_218/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_217/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_216/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_215/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_214/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_213/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_212/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_211/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_210/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_209/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_208/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_207/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_206/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_205/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_204/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_203/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_202/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_201/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_200/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_199/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_198/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_197/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_196/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_195/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_194/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_193/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_192/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_191/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_190/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_189/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_188/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_187/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_186/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_185/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_184/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_183/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_182/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_181/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_180/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_179/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_178/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_177/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_176/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_175/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_174/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_173/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_172/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_171/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_170/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_169/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_168/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_167/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_166/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_165/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_164/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_163/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_162/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_161/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_159/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_158/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_157/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_156/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_155/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_154/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_153/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_152/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_151/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_150/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_149/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_148/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_147/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_146/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_145/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_143/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_142/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_141/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_140/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_139/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_138/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_137/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_136/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_135/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_134/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_133/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_132/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_131/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_130/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_129/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_128/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_127/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_126/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_125/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_124/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_123/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_122/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_121/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_120/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_119/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_118/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_117/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_116/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_115/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_114/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_113/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_112/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_111/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_109/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_108/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_106/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_105/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_104/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_103/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_102/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_101/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_100/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_99/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_98/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_97/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_96/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_95/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_94/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_93/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_92/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_91/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_90/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_89/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_88/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_87/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_86/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_85/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_83/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_82/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_81/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_80/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_79/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_78/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_77/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_76/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_75/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_74/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_73/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_72/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_71/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_70/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_69/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_68/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_67/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_66/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_65/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_64/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_63/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_62/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_61/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_60/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_59/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_58/Q_reg-SDFF-s-bar	2	2	0	0
